id,label,count,relevant,event
Q67201574,sub-millimetric source,18821,,
Q46831,mountain range,18741,1,
Q2116450,manor estate,18702,,
Q12280,bridge,18627,,
Q3464665,television series season,18449,,
Q1303167,barn,18376,,
Q121117,supercomputer,18222,,
Q41298,magazine,17849,,
Q123705,neighborhood,17793,,
Q15416,television program,17697,,
Q202444,given name,17647,,
Q838948,work of art,17589,,
Q2042028,ravine,17481,,
Q72803708,possible globular cluster,17417,,
Q67035425,ASTM standard,17305,,
Q1539532,sports season of a sports club,17220,,1
Q71965429,Seyfert 1 galaxy,17151,,
Q7604693,Statutory Rules of Northern Ireland,17145,,
Q159334,secondary school,17109,,
Q1134686,frazione,16970,,
Q5871,white dwarf,16701,,
Q820655,statute,16647,,
Q4421,forest,16627,,
Q1266946,thesis,16621,,
Q109623729,association football match of club teams,16476,,
Q72803426,horizontal branch star,16418,,
Q16917,hospital,16378,1,
Q26703203,stumbling stone,16324,,
Q17018380,bight,16164,,
Q15303838,municipality seat,16152,,
Q107102664,cell line from embryonic stem cells,16134,,
Q24046192,Wikimedia category of stubs,16038,,
Q46190676,tennis event,16008,,1
Q34763,peninsula,15951,,
Q23413,castle,15805,,
Q1302249,cross-reference,15763,,
Q168845,star cluster,15694,,
Q62447,aerodrome,15690,,
Q15221623,bilateral relation,15590,,
Q7278,political party,15575,1,
Q740445,ridge,15515,,
Q131681,reservoir,15305,,
Q212198,pub,14927,,
Q2065736,cultural property,14822,,
Q2732840,Gram panchayat,14713,,
Q2467461,academic department,14684,,
Q3937,supernova,14569,,
Q294414,public office,14476,,
Q176799,military unit,14422,,
Q928830,metro station,14222,,
Q3957,town,14184,1,
Q40231,election,14170,1,1
Q6451276,Congressional Research Service report,13981,,
Q618779,award,13937,,
Q166735,swamp,13674,,
Q59541917,Wikimedia topic category,13464,,
Q55809450,Hangul syllable,13439,,
Q18663566,dissolved municipality of Japan,13356,,
Q420927,protein complex,13276,,
Q3918,university,13124,1,
Q40080,beach,12983,,
Q107103143,Induced pluripotent stem cell line,12941,,
Q71798788,UV-emission source,12897,,
Q174782,square,12844,,
Q188593,cepheid variable,12832,,
Q235557,file format,12717,,
Q773668,open-access journal,12683,,
Q55850593,music track with vocals,12618,,
Q18761202,watercolor painting,12470,,
Q81505329,protein family associated with domain,12461,,
Q56731284,Act of the Parliament of Australia,12432,,
Q6453643,decree law,12392,,
Q2221906,geographic location,12330,,
Q327333,government agency,12292,1,
Q24452,Algol variable,12269,,
Q1115575,civil parish,12222,,
Q185113,cape,12130,,
Q1504425,systematic review,12104,,
Q726,horse,12005,,
Q187223,lagoon,12004,,
Q105774620,Public General Act of the Parliament of the United Kingdom,11923,,
Q28738741,interacting galaxies,11886,,
Q27671617,finite cell line,11812,,
